'10001', Out-of-bounds access, ARRAY_VS_SINGLETON, none, Memory - corruptions, Memory - corruptions, High, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10002', Unchecked return value, CHECKED_RETURN, none, Error handling issues, Error handling issues, Medium, msVCProj.gui, New, Unclassified, Unspecified, Unassigned
'10003', Unchecked return value, CHECKED_RETURN, none, Error handling issues, Error handling issues, Medium, msVCProj.gui, New, Unclassified, Unspecified, Unassigned
'10004', Unchecked return value from library, CHECKED_RETURN, library_function, Error handling issues, Error handling issues, Medium, msVCProj.network, New, Unclassified, Unspecified, Unassigned
'10005', Unchecked return value from library, CHECKED_RETURN, library_function, Error handling issues, Error handling issues, Medium, msVCProj.network, New, Unclassified, Unspecified, Unassigned
'10006', Unchecked return value from library, CHECKED_RETURN, library_function, Error handling issues, Error handling issues, Medium, msVCProj.network, New, Unclassified, Unspecified, Unassigned
'10007', Unchecked return value from library, CHECKED_RETURN, library_function, Error handling issues, Error handling issues, Medium, msVCProj.network, New, Unclassified, Unspecified, Unassigned
'10008', Unchecked return value, CHECKED_RETURN, none, Error handling issues, Error handling issues, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10009', Unchecked return value, CHECKED_RETURN, none, Error handling issues, Error handling issues, Medium, msVCProj.apacheOther, Dismissed, Intentional, Unspecified, Unassigned
'10010', Unchecked return value, CHECKED_RETURN, none, Error handling issues, Error handling issues, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10011', Unchecked return value, CHECKED_RETURN, none, Error handling issues, Error handling issues, Medium, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
'10012', Copy-paste error, COPY_PASTE_ERROR, none, Incorrect expression, Incorrect expression, Medium, msVCProj.gui, New, Unclassified, Unspecified, Unassigned
'10013', Resource leak in object, CTOR_DTOR_LEAK, none, Resource leaks, Resource leaks, High, msVCProj.msVCInc, New, Unclassified, Unspecified, Unassigned
